id,name,G08,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p
3414550,"Salem City School District, NJ",57,4,51,2,0,1,.13725491,1,1,1
3414640,"Sayreville Borough School District, NJ",447,86,78,200,.60465115,1,.66666669,1,.755,1
3414670,"Scotch Plains-Fanwood Regional School District, NJ",439,33,45,308,1,1,.95555556,1,1,1
3414730,"Sea Girt Borough School District, NJ",16,0,0,16,,,,,.4375,1
3414850,"Secaucus Town School District, NJ",175,43,8,81,.093023255,1,0,1,.12345679,1
3414880,"Shamong Township School District, NJ",96,4,5,86,1,1,0,1,.18604651,1
3414970,"Shrewsbury Borough School District, NJ",63,0,1,58,,,0,1,.3275862,1
3415090,"Somerville Borough School District, NJ",103,34,17,42,.05882353,1,.11764706,1,.16666667,1
3415120,"South Amboy City School District, NJ",70,20,4,43,.2,1,0,1,.23255815,1
3415180,"South Bound Brook Borough School District, NJ",49,24,7,15,0,0,0,0,0,0
3415210,"South Brunswick Township School District, NJ",706,58,48,197,.068965517,1,0,1,.17766498,1
